id	filename	md5	size	state
0022653f-2467-4e12-a8b0-23e5bafbd600	871862c9-2fb6-46f8-9d19-1f874901a3b5.mirbase21.isoforms.quantification.txt	ad32ea85ad27ed73f66235967406a576	643883	validated
0095e188-cbc4-450e-af40-2a96db900515	1d833b10-385d-45ec-a1b5-795f1b04483c.mirnaseq.isoforms.quantification.txt	40a8ed8257ecbd594084411bb2cdf2bb	933105	validated
01ba6e32-952a-4610-8944-cbaac9c32ec7	03c510e2-4891-484d-ba5b-16a852ae6533.mirbase21.isoforms.quantification.txt	467462d92aa7534829ef605ac6ca9eb4	333274	validated
01cd3012-9569-4ff2-8fba-59003a906123	62748187-c58c-4d26-9bac-d3bd348c7f9e.mirbase21.isoforms.quantification.txt	ba484f3f03a402816b6da2df8505bc6f	431015	validated
01d2a791-4d76-4e29-9118-e095376acb5e	865f8168-24a0-46b7-ae90-acf6fcc63850.mirnaseq.isoforms.quantification.txt	be1dcb44a8f85f2dd646ee0dccd68800	918850	validated
0221c0ad-b27e-4d3f-9f86-74bd1403b59c	bfc51e34-dcbd-493d-9409-e18fccec6ed4.mirbase21.isoforms.quantification.txt	ec4fd54cda47b327d759429b9eb04606	467337	validated
02d79fd4-fc2a-418f-bb71-725085c4cb03	723445a3-d438-43a2-b15c-409d03994af2.mirnaseq.isoforms.quantification.txt	48737dcb0d914dcb5970ebeb6325dab6	637262	validated
033d8b0b-c369-4500-83bf-56f756afa5cc	7b5ea67b-1210-4a04-8cc2-ee1aee15ca83.mirnaseq.isoforms.quantification.txt	61380c6094e23fa7dbf5cb9cdc2ec6dc	809842	validated
03c6c6f6-05bd-48a6-b765-f15b0839f3a6	a3c89195-e8f9-4d4c-a44d-68c5f530c798.mirbase21.isoforms.quantification.txt	9f45deb36e9e35a4e4833767610b8da4	333214	validated
046b580f-005d-4d53-8e89-405f11e45c2f	96c0bc01-b013-432a-bb0d-d9f0bf31141b.mirnaseq.isoforms.quantification.txt	ce8fd7b993b80ab3e7446a882fb5d2e0	927503	validated
0478ce68-b188-4543-8699-038c567c3e8e	ec758796-1248-4cf5-9788-99aea11834e9.mirbase21.isoforms.quantification.txt	db78be90d24f55c85f9169ce974fa1af	443554	validated
056ed830-8125-40af-b1e4-3f21de6b018f	c395a94d-0882-42bd-81f2-347dc832f858.mirbase21.isoforms.quantification.txt	d7199bd2a8bc39f002e91e9f842f134e	390647	validated
05891428-d40a-44cc-a269-d8fe18f76d25	02e51370-8ffb-4be1-8ca1-279cbb92cd55.mirnaseq.isoforms.quantification.txt	f98c67caaaf4bb4621f50fe6c323b242	839235	validated
